"排名","代號","名稱","成交","漲跌幅","成交額(百萬)","PER","累季營收年增(%)","近4Q營益季增(%)","風險係數(β)","累季ROA(%)","近4QROA(%)","歷年加均ROA(%)","累季ROE(%)","歷年加均毛利(%)","歷年加均毛利成長(%)","一個月走勢圖","三個月走勢圖"
"27",="1256","鮮活果汁-KY","170","+3.98","15.3","11","+6.6","+3.95","1.03","15.8","17.7","16.3","24.5","31","+17.4","    ","    "
"28",="4728","雙美","54","+2.27","4.73","20.4","+114","+58.1","1.08","13","16.9","1.11","17.1","69.9","+20.6","    ","    "
"29",="6698","旭暉應材","39.4","+6.63","7.4","12.6","+42.8","","1.64","16.2","","9.73","20.6","36.1","+46","    ","    "
"30",="8499","鼎炫-KY","73","+1.67","10.4","8.97","+23.1","+7.82","1.24","13.1","20.4","19.1","18.4","45.2","+5.36","    ","    "
"31",="3529","力旺","188.5","+4.14","280","25.8","-2.02","-7.14","1.47","20.6","19.6","21.2","25","97.3","+11.4","    ","    "
"32",="9958","世紀鋼","74.6","+2.9","401","25.8","+14.6","-169","0.65","5.7","5.85","1.4","11.1","10.1","-0.34","    ","    "
"33",="5514","三豐","17.3","+0.58","0.3","8.65","+273","+124","0.55","10.2","9.15","6.91","14.3","45.5","-13.1","    ","    "
"34",="8416","實威","98.5","+3.9","3.36","10.4","+0.85","+5.49","0.76","13.3","21.9","21.2","16.7","56.8","+9.27","    ","    "
"35",="9910","豐泰","120.5","+4.33","146","14.2","+15.3","+3.08","0.97","15","20","12.3","30","21.4","+10.6","    ","    "
"36",="6462","神盾","142.5","+6.34","725","11.3","+14","+25.9","1.57","12.6","12","1.63","26.2","38.5","+36.4","    ","    "
"37",="8341","日友","197","+3.68","72.8","22.1","+22.5","+10.2","0.39","14.6","20.6","12.7","25.8","58.6","+16.2","    ","    "
"38",="5299","杰力","72","+7.14","26.8","9.05","+19.3","+3.74","1.59","15.4","20.7","11.6","22.1","29.4","+29.2","    ","    "
"39",="8437","大地-KY","150","0","24.3","10.1","+14.5","+4.72","0.7","14","18.1","16.7","19.8","82.8","+16.2","    ","    "
"40",="3324","雙鴻","117","+7.34","702","9.99","+35.2","+56.5","1.61","11.9","14.4","4.6","28.2","14.5","+6.68","    ","    "
"41",="5289","宜鼎","145","+7.81","119","11.4","-8.77","+9.41","1.15","14.6","17.6","16.6","19.4","26.3","+16.1","    ","    "
"42",="1476","儒鴻","221","+9.95","313","14.1","+1.8","+3.98","1.16","14.3","20.3","18.7","18.6","27.6","+11.4","    ","    "
"43",="8088","品安","22.4","+9.8","54.9","8.55","-6","+52.4","1.57","11","13.9","5.7","13.5","7.7","-13.6","    ","    "
"44",="1580","新麥","79","+7.05","14.6","7.72","-4.11","+2.3","0.87","11.6","17.3","16.7","17.2","40.2","+5.49","    ","    "
"45",="6552","易華電","42.7","+9.21","35.2","8.15","+88.3","+22.6","1.68","14.8","20.2","7.69","22.5","17.8","+21.2","    ","    "
"46",="4966","譜瑞-KY","598","+9.93","582","19","+22.6","+8.01","1.29","14.2","20.4","18.8","17.4","41.5","+12.2","    ","    "
"47",="6582","申豐","63.7","+3.07","16","12.7","-14.7","+11.4","0.19","10.8","13.1","15.6","12.4","25","+0.5","    ","    "
"48",="3533","嘉澤","253","+7.66","454","13.4","+13.5","+13.7","1.28","10.3","14.1","10.5","14.2","32.3","+11.9","    ","    "
"49",="4438","廣越","105","+2.44","8.8","10.8","+28.3","+1.77","0.75","8.82","8.49","9.19","14.2","16.4","+10.8","    ","    "
"50",="3526","凡甲","72","+6.51","168","11.8","-2.64","+6.65","0.96","9.19","13.2","9.7","18.1","34.3","+3.87","    ","    "
"51",="4968","立積","109","+9.55","241","35.4","-6.26","+37.5","1.68","7.33","15.8","9.71","11.7","32.7","+13","    ","    "
"52",="5212","凌網","47.4","+8.72","14.2","19.1","+19","-1.93","0.91","8.13","13.6","3.68","13.2","50.9","+4.86","    ","    "
"53",="4205","中華食","75.2","+3.3","6.58","21.3","+5.76","+9.49","0.48","11.8","15.3","10","14.3","35.8","+4.4","    ","    "
"54",="6224","聚鼎","52.7","+3.94","10.6","11.5","-10.5","+9.63","0.98","9.42","11.8","16.1","12.2","48.1","+4.09","    ","    "
"55",="2330","台積電","267.5","+4.9","22,207","20.1","+1.49","+3.69","1.25","10.8","16","18.1","14","48","+10.2","    ","    "
"56",="6538","倉和","221.5","+4.73","558","30.7","+61.7","+58.5","1.58","9.69","12.5","3.57","13.5","38.7","-22","    ","    "
"57",="6263","普萊德","55.9","+1.82","5.4","11.2","-2.35","-2.71","0.52","13.9","19.9","17.2","17.4","35","+6","    ","    "
"58",="2395","研華","242","+3.42","430","23.1","+11.8","+9.06","0.86","12.7","16.7","16","18.8","40.1","+8.04","    ","    "
"59",="1537","廣隆","127","+4.1","35","10.3","-6.8","-4.93","0.51","13.5","17.1","14.3","19.6","21","+9.07","    ","    "
"60",="2939","凱羿-KY","91","+1.45","1.73","18.2","-30.5","-18.6","0.65","11.1","15.5","32.4","14","26.8","-44.4","    ","    "
"61",="6202","盛群","58.7","+0.51","157","14.5","-5.73","+0.3","0.81","16.9","16.9","16.6","22.2","46.4","+3.12","    ","    "
"62",="3056","總太","23.6","+5.83","27.3","12.8","+24","+4005","1.02","4.17","3.75","7.09","9.12","30","-0.61","    ","    "
"63",="4735","豪展","52.2","+2.35","87.6","11.6","-1.27","+5.67","0.41","9.4","13.7","5.19","23.1","25","+11.1","    ","    "
"64",="1227","佳格","56.6","+7.81","152","16","+9.8","+10.5","0.51","10.4","14.2","12.1","15.3","31.2","+4.58","    ","    "
"65",="1707","葡萄王","187.5","+3.59","167","19.5","+0.15","-1.72","0.51","12.4","18.9","15.6","19.1","80.5","+10.8","    ","    "
"66",="4137","麗豐-KY","161.5","+5.21","82.1","8.96","+14.9","+1.12","1.03","14.8","19.2","16.9","25.8","80.4","+13.3","    ","    "
"67",="6683","雍智科技","132.5","+9.96","88","16.9","+26.3","+22.6","1.62","12","15","13.5","14","54.2","-4.15","    ","    "
"68",="6666","羅麗芬-KY","99","+1.02","8.11","9.43","+12.7","-1.87","1.03","17.3","29.1","26","21","65","+46","    ","    "
"69",="8299","群聯","229","+9.83","558","9.93","+2.79","+4.32","1.46","9.12","11.5","15.5","12","19.6","+8.97","    ","    "
"70",="1477","聚陽","100","+1.83","243","11.6","+15.5","+2.98","0.74","10.8","14","13.8","17","20.5","+5.02","    ","    "
"71",="8482","商億-KY","105","+0.96","3.75","13.5","-9.11","-13.5","0.5","14.9","22.2","27.3","19.7","41.3","+0.15","    ","    "
"72",="6282","康舒","16.9","+4.97","42.7","5.89","+14.3","-25.9","1.28","7.31","7.75","5.2","16.5","15.3","-1.37","    ","    "
"73",="8066","來思達","55.2","+3.37","5.62","8.02","-7.77","-4.41","0.65","10","17.7","19.7","22.5","14.7","+11","    ","    "
"74",="8446","華研","96","+6.08","17.9","9.5","-13.4","+5.39","0.77","15.7","20.4","14.4","29.5","46.1","+18.4","    ","    "
"75",="4763","材料-KY","91.5","+3.98","15.7","15.8","+23.2","+17","0.92","9.63","12.4","11.7","17.8","25.4","+12.3","    ","    "
"76",="6616","特昇-KY","24.9","+1.63","0.5","5.7","+43.3","+13.6","0.84","10.8","15.9","7.25","21.4","17.2","+13.1","    ","    "
"77",="1341","富林-KY","54.5","-0.91","0.49","9.58","+4.18","+19.6","0.11","9.33","13.1","17.7","18","21.4","-17.9","    ","    "
"78",="5607","遠雄港","18.05","+3.44","13.2","6.16","+45","+98.5","0.83","6.65","6.95","2.37","12.8","47.2","+7.36","    ","    "
"79",="1558","伸興","114","+2.7","13.7","10.2","-11","-11.9","0.5","8.53","10.6","14.6","11.9","25.4","+6.43","    ","    "
"80",="5283","禾聯碩","81","+4.65","16.1","7.95","+6.36","+7.27","0.75","12.6","14.9","15.5","18.7","37.7","+3.94","    ","    "
"81",="1264","德麥","191","+4.37","10.6","14","+1.57","-0.17","0.39","12.8","17.5","18.1","15.3","37","+7.34","    ","    "
"82",="3105","穩懋","242.5","+8.99","1,984","22.9","+10.5","+65","1.55","6.74","8.69","9","9.46","33.8","+10.8","    ","    "
"83",="1232","大統益","100.5","+2.55","20.5","16.5","+0.43","+4.32","0.7","13.8","19.4","15.4","19.4","8.2","+5.72","    ","    "
"84",="6525","捷敏-KY","44.85","+3.1","6.44","8.61","+1.14","-0.5","1.14","10.9","14.6","17.4","14.6","31.6","+6.33","    ","    "
